42044618275ANDERSON, ANDY    0245000000      045000110250011000       1003187030
42174857618BACH, SUSANNE     0160000000      033500053600011000       1102296400
42333919234KNIGHT, JERRY     0400000000      071500286000011000       2101228600
42337465869JEFFERSON, JANICE 0400000000      071500286000011100       1103199805
42523118123THOMPSON, THOMAS  0400000000      100000400000011100       1302940075
42299192737VICTOR, VERONICA  0400001600      122500784000011200       3401422344
42388374655UNDERWOOD, JAMES  0400000000      049000196000011200       2202968875
42512916253TUCKER, BRENT     0400000800      071500371800011200       1301224412
42183276586BOULTON, ROBERT   0320000000      065000208000012000       1403105534
42342847012BUTTERFIELD, CATHY0400000800      145000784000012000       2401143556
42372847619BENEDICT, BARBARA 0400000200      056500232950012000       2402925854
42534100330ZABRINSKI, LELAND 0400000000      052500210000012000       2502226654
42561992736WALLACE, TODD     0400000000      062500250000012000       2102198745
42033816386BIAGINI, GEORGE   0400000800      115000598000021200       1303148050
42255918749GREGORY, PAUL     0400000800      045000234000021200       3201212230
42283746464ISAACSON, SAMUEL  0400000000      123300493200021200       3402418620
42432724123HOWARD, EILEEN    0400000000      095000380000021200       2502896588
42477928388HAMILTON, ROBERT  0400000000      059500238000021200       2102221975
42524374645HUFFMAN, NANCY    0400000000      095000380000021200       1201586522
42720981243FRANCIS, DAVID    0400000000      062500250000021200       1302785423
42423183756KAPLAN, DAVID     0400000800      052500210000023500       1103212298
42823746565JOHNSON, ROBERT   0400000800      123300641160023500       1201275421
42022836611CARLSON, THOMAS   0400000000      059500238000024000       1302242388
42222049685CHU, GRACE        0400000000      095000380000024000       1401898843
42272736453DAVIDSON, ROBERT  0400000000      082500330000024000       1102545327
42455362718CHAVEZ, RITA      0345000000      050000172500024000       1101127364
42746223319COOPER, JOHN      0142500000      077500110440024000       2101225600
42302918374LAWRENCE, LISA    0400000000      059500238000024000       2002105670
42611223985KELLAR, PRISCILLA 0400001600      147500944000024500       2002500822
42102784636NG, BETTY         0400000000      039500158000031300       1002124450
42302918374LETINSKY, MAURICE 0400000800      123300641160031300       2003187566
42712635241NORMAN, JOAN      0400000800      065000260000031300       3102965581 
