EM ATL1000008280001DATE        JULIAN   B  04000MS00H044400003552000408480                          
EM ATL1000009710002WESTMORELANDLEE      F N00150FM02H069360005548800624240                          
EM ATL1000012190003QUITO       AMOS     C  03800MS00 150000013500001485000                          
EM ATL1100113230004WHELAN      ROD      A N04000MM03H073860006241000702108                          
EM ATL1100118500005CORVINO     GERALD   K  02000MM15H057360004588800527712                          
EM ATL1200007480006STERLING    RONALD   R  01600MM01 150000007500000825000                          
EM ATL1200009840007SEVILLE     BARBARA  N  01600FS03 180000009000000990000                          
EM ATL1200010860008PEACE       WARREN      00800MS00H072240005634700633906                          
EM ATL1200011480009MELLOW      MARCIA   C  02400FM00 158400007920000871200                          
EM ATL1200012950010CARSON      JAMES    F  04000MM01H070740005659200650808                          
EM ATL1200018900011WHITNEY     DAVID    S  04050MS01 207000015918001750980                          
EM ATL1200112380012WHITE       BERNARD  T N03000FM00H074040005923200695976                          
EM ATL1200112590013GUSTAFFSON  HARRY    A N04000MM02H046680000000000222336                          
EM ATL1200112730014LESSE       MOIRA    L  04000FH03 147960000089R03103680                          
EM ATL1200115320015JOHNSON     SARAH    B  04000MS02 213600016680001834800                          
EM ATL1200115510016KLEERLY     SEYMOUR  W  01625MM99 253800010290001131900                          
EM ATL1200118120017RECKONWITH  AMANDA   D  03200FS01 135000018750002062500                          
EM ATL1200120080018JACKSON     ANDREW   V  04000FS01 157920013896001528560                          
EM CTL1200015560019GOLDMAN     RACHEL   M  04000MS00H081990006559200737910                          
EM CTL1200215700020FORCE       GAYLE    A N04000FM02H129480011135301308396                          
EM CTL1200248260021DOVER       EILEEN   P  04000FH04H110160008812800991440                          
EM CTL2000312980022WOO         CELIA    S  02000MS02H054840004387201013472                          
EM CTL2000556980023CHAVEZ      RAFAEL   B  01600FS01 174000008700000957000                          
EM CTL3000011700024JOHNSON     SARAH    M  04000MM01 213600010680001834800                          
EM CTL3000016100025KLEERLY     SEYMOUR  B  04000MS00 180000011400001254000                          
EM CTL3000120620026DEW         FONDA    C N00800FM05H239999019199902255986                          
EM CTL3000141180027ADOLPH      CHARLOTTEG  02000MM04 163200008160000897600                          
EM CTL3000156210028KARRIDGE    ORSON    K  01600MS01H103560007870600905114                          
EM CTL3000183340029MELON       WALTER   H  04000MS03 510000073500005325000                          
EM CTL3000214590030FREDERICKS  PATRICIA B  03800MS00H109800008784001032120                          
EM CTL4000212080031SIMMONS     RONALD   F N02000FH05H058200004656000535440                          
EM CTL4000256610032ABBOTT      ANTHONY  N  03850MM03 198000009900001089000                          
EM CTL4000317410033WHEELER     EDMUND   Q  02400MS00H061470004917600577818                          
EM MTN1300215740034PENITENCIA  JOSE     I  04000MM00 180000015000001650000                          
EM MTN1350242590035SHOELACES   TYRONE   S  04000MM01 141000007050000775500                          
EM MTN6000302190036JOHANSON    PAUL     C N04000FM03H070680000000000141360                          
EM MTN6000316830037JAMES       SANDY    E  00450MM04 228000058200004536000                          
EM MTN7000315190038PLEZSTA     BEA      J  04000FS03H049980004748200534168                          
EM MTN7000406440039FEEDING     KAREN    W  03000FM05H046680003734400429456                          
EM MTN7000413590040LIKEIT      WOODY    A  04000MM04 237000011850001303500                          
EM MTN7000487210041CASHMAN     BARBARA  Y  04000FS01H061920004953600557318                          
EM MTN7000515780042GONNAWAY    HERMAN   D  10000MS01 162000008100000891000                          
EM PAC1000112900043YANG        CYNTHIA  B N01600FS00H092400007392000850080                          
EM PAC1000312550044MACINTYRE   JOHN     U N02075MM02H072600005082000597136                          
EM PAC1900416120045BROWN       BRUCE    Y  03200MM00H070440005635200648048                          
EM PAC1900468300046WARMWATER   LUKE     K  04000MS02H049920003993600449280                          
EM PAC1900532670047MONEY       XAVIER   R  02400MS01 177000008850000973500                          
EM PAC3000415730048ROGERS      WALTER   E  03800FM03 180000009000000990000                          
EM PAC3000480830049O'SHEA      RICK     C N03600MH11H069600005568000640320                          
EM PAC3000556370050TERRAINE    ROCKY    O  02000MM05H066000005280000631368                          
EM PAC3500432410051MOMITER     ARTHUR   E  00850MS00 187200000000000936000                          
EM PAC4000505630052SKIRTZ      MINNIE      04000FS01 226800024000004656000                          
EM PAC4000512220053ZAPPLE      ADAM     S  03000MM04H067860005428800624312                          
EM PAC4000560370054LIGHT       TRUDY    V N02400FS00H050160002006400225860                          
EM PAC5000502620055KNOLL       DONALD   L N01600MS00H061800004944000568560                          
EM PAC5000510440056OATES       OPHELIA  Y  00800FM00 144000013200001452000                          
EM PAC5000544590057EGGO        SANDY    C  03200FM02 159000007950000874500                          
EM PAC5000559150058QUINTANA    VINCENT  E  00400FS00 174000008700000957000                          
EM PAC5000560700059CAMEL       FLORA    A  04000FS01H075060006004800690552                          
EM PAC5000565260060THOMPSON    CHARLES  F  02000MS01H061800002472000290584                          
