22387160001ABBOTT        MARILYN      700   243128 31300100045  100164                              
22553500002ANDERSON      ANDY         500   133035 31300050001  121565                              
22252230003ARMSTRONG     JACK         140   073021 31300100020  102468                              
22365870004BACH          SUZANNE      180   229088 31300200030  041766                              
22008830005BENEDICT      BARBARA      100   014005 31300100050  032168                              
22157450006BIAGINI       GEORGE       150   000000 31300100100  062268                              
22156670007BOULTON       ROBERT       800   452122 31300075010  112265                              
22206720008BURKHART      RAE          100   143068 31300200017  083166                              
22102110009BUTTERFIELD   CATHERINE    750   061030 31300050025  050365                              
22309230010BYWATER       RUSSELL      800   104061 31300050005  102562                              
22556570011CARLSON       THOMAS       400   097031 44510100031  122167                              
22019330012CHAVEZ        RITA         090   063030 44510100015  061067                              
22441250013CHU           GRACE        500   202092 44510100003  082566                              
22409340014COOPER        JOHN         150   223089 44510200000  102265                              
22408170015DAVIDSON      ROBERT       120   090032 44510050009  031767                              
22414140016DEERING       STEWART      190   100033 44510100009  032567                              
22449810017DOWNS         JILL         510   319091 44510200010  122564                              
22572080018EDWARDS       PATRICIA     200   040015 44510100002  082268                              
22313470019FIELDING      GEORGE       600   000000 44510050003  102367                              
22401720020FRANCIS       DAVID        130   213085 44510100011  043065                              
22301250021GREGORY       PAUL         750   200069 44510200200  102566                              
22364780022HAMILTON      ALEXANDRIA   750   078029 44510100010  012069                              
22216930023HOWARD        EILEEN       250   230100 44510100017  021866                              
22242170024HUFFMAN       NANCY        100   009003 44510050015  040568                              
22516560025ISAACSON      SAMUEL       600   148059 50510075017  073166                              
22501230026JEFFERSON     JANICE       170   000000 50510100015  111168                              
22029060027JOHNSON       ROBERT       110   046015 50510200045  021968                              
22310330028KAPLAN        DAVID        700   101044 50510100030  071067                              
22579200029KELLAR        PRISCILLA    170   113045 50510100000  080367                              
22595770030KNIGHT        JERRY        140   111030 50510200015  063067                              
22217870031LAWRENCE      LISA         120   208075 50510075008  062063                              
22496860032LETINSKY      MAURICE      130   090045 50510100012  042067                              
22412930033LETSON        KATHY        300   112055 55040050018  010166                              
22001470034LOWREY        JUDITH       800   047012 55040100009  030568                              
22339980035MCCORKLE      CHERYL       130   315130 55040075021  011564                              
22218600036MITCHELL      MARGARET     160   031015 55040075050  052768                              
22409140037MONROE        SHANNON      120   258112 55040100025  072263                              
22566720038NORMAN        JOAN         100   243064 55040100045  101066                              
22569880039O'HARA        CAROLINE     600   012010 55040200020  123168                              
22405350040PETERSON      JAMES        130   105052 55040075018  122267                              
22183770041QUINN         ANTHONY      180   136050 55040050007  112167                              
22487800042ROBERTSON     CAROLE       900   258076 55040050015  011966                              
22010100043RODRIGUEZ     JUAN         500   000000 55040200022  090168                              
22205800044RUSSELL       BETTY        180   266074 55040050010  013166                              
22236430045SHAPIRO       CHARLOTTE    170   108045 55040200060  032065                              
22446180046SMITH         JOHN         110   049016 55040050013  092269                              
22204140047SMITH         JOHN         170   000000 55040200005  052068                              
22325940048STRONG        JASON        120   271090 55040100025  082365                              
22371300049TAYLOR        PHILLIP      600   150060 55040100025  062166                              
22334480050THOMPSON      THOMAS       160   276106 55040200060  071262                              
22553290051TUCKER        BRENT        510   409105 57020050000  020467                              
22213330052UNDERWOOD     JAMES        150   440110 57020050020  052164                              
22193520053VANBARKENDAHLEMARGARET     300   082025 57020100050  022267                              
22557400054VICTOR        VERONICA     135   199062 57020075026  021765                              
22553100055WALLACE       TODD         140   252120 57020100021  112741                              
22436230056WILLIAMS      PAUL         300   150060 57020100013  011067                              
22312150057WONG          GENE         200   197075 57020100036  092358                              
22418140058YAMANAKA      WILLIAM      250   067028 57020200035  072361                              
22522800059ZABRINSKI     SHAUN        500   012008 57020100035  041968                              
22106780060ZIEGLER       JENNIFER     700   231105 57020200100  050164                              
